1.193415323433190123e+00 7.986587700777119103e+00 3.566643215786685639e-01 8.947435038643273275e-01 7.011451277689543238e-01 2.175588766418911035e+01 -1.601788822986393579e-01
1.196848129725327059e+00 7.985693891485705187e+00 3.574504008090043095e-01 8.928346510639842970e-01 7.002519390475823169e-01 2.163286998469000721e+01 -1.605617852733161321e-01
1.200281945054307853e+00 7.984793371904866710e+00 3.582306157732400576e-01 8.909234304414626049e-01 6.993580449471237248e-01 2.151089456196627836e+01 -1.609438520498341629e-01
1.203716711013081087e+00 7.983886069860566259e+00 3.590080387481422441e-01 8.890074272168027036e-01 6.984634548997845638e-01 2.138995149849708710e+01 -1.613250014152035616e-01
1.207152368815855414e+00 7.982971920482682116e+00 3.597819891610100629e-01 8.870873420726302916e-01 6.975681786874915469e-01 2.127003101548842068e+01 -1.617052348753882929e-01
1.210588859983753984e+00 7.982050821738726931e+00 3.605521515476947658e-01 8.851636392025333810e-01 6.966722244697975963e-01 2.115112291539053402e+01 -1.620845452470780212e-01
1.214026125273335976e+00 7.981122681095424554e+00 3.613169757623372891e-01 8.832380151492965625e-01 6.957756010683965320e-01 2.103321734008118327e+01 -1.624629607795670949e-01
1.217464105460962509e+00 7.980187454904129396e+00 3.620776028768980526e-01 8.813078932731085446e-01 6.948783190067460147e-01 2.091630508697751623e+01 -1.628403953543809679e-01
1.220902741186069562e+00 7.979245100391580969e+00 3.628354047757205714e-01 8.793734730965983015e-01 6.939803889065129239e-01 2.080037742855668625e+01 -1.632168433609338665e-01
1.224341972939022138e+00 7.978295463773252827e+00 3.635879021492691154e-01 8.774367026757415866e-01 6.930818171652998183e-01 2.068542305014562288e+01 -1.635923234540687943e-01
1.227781740950383726e+00 7.977338465127124856e+00 3.643380012955260705e-01 8.754948986853957615e-01 6.921826129543897643e-01 2.057143370935369475e+01 -1.639667579864518832e-01
1.231221985375025696e+00 7.976374052834521500e+00 3.650833527338157025e-01 8.735500053817208954e-01 6.912827865820763140e-01 2.045840035527517387e+01 -1.643401826894212436e-01
1.234662645967365080e+00 7.975402230937537418e+00 3.658240446982898852e-01 8.716019908257675031e-01 6.903823505547832529e-01 2.034631432446645150e+01 -1.647125766552781090e-01
1.238103662743843758e+00 7.974422852516699578e+00 3.665607315368285546e-01 8.696500711284743668e-01 6.894813115414551996e-01 2.023516567030667090e+01 -1.650838949266582034e-01
1.241544975057443878e+00 7.973435859730405362e+00 3.672920006380540614e-01 8.676954022947690470e-01 6.885796795883770693e-01 2.012494646204518745e+01 -1.654541638923989200e-01
1.244986522529297535e+00 7.972441160039473118e+00 3.680214519058933043e-01 8.657366573278925115e-01 6.876774635101940980e-01 2.001564704629246449e+01 -1.658233185957241063e-01
1.248428244339059745e+00 7.971438675288626818e+00 3.687444003372479240e-01 8.637749125616566159e-01 6.867746726308923133e-01 1.990725843478579904e+01 -1.661913682010271454e-01
1.251870079577584782e+00 7.970428382263182954e+00 3.694647228541952932e-01 8.618085625918433523e-01 6.858713184428770759e-01 1.979977317407832160e+01 -1.665582601003953445e-01
1.255311967205703150e+00 7.969410216820641324e+00 3.701806883723927633e-01 8.598391412749759599e-01 6.849674108541765616e-01 1.969318256978706572e+01 -1.669240170940221035e-01
1.258753846316391201e+00 7.968383982029609847e+00 3.708927946998045733e-01 8.578663633824111789e-01 6.840629544958792829e-01 1.958747633291050150e+01 -1.672885999524353906e-01
1.262195655331925348e+00 7.967349815745107477e+00 3.715984620937661798e-01 8.558921301319467601e-01 6.831579673213387105e-01 1.948264941206008771e+01 -1.676520712218825537e-01
1.265637332772374668e+00 7.966307455051162556e+00 3.723008820606013569e-01 8.539131710697576150e-01 6.822524513754302244e-01 1.937869051093750272e+01 -1.680142944402026328e-01
1.269078817072759602e+00 7.965256952085071340e+00 3.729975305285643250e-01 8.519319283089011874e-01 6.813464211601172327e-01 1.927559315226056569e+01 -1.683753344199820923e-01
1.272520046505548397e+00 7.964198223707881219e+00 3.736909665908976774e-01 8.499469047063545890e-01 6.804398859203609762e-01 1.917334912543342540e+01 -1.687351290641032064e-01
1.275960959153369156e+00 7.963131105471916271e+00 3.743820407811165318e-01 8.479566400433713458e-01 6.795328515235191658e-01 1.907194896599071399e+01 -1.690936052237069498e-01
1.279401493030509540e+00 7.962055661417166696e+00 3.750656094866330892e-01 8.459661109881125851e-01 6.786253331003915257e-01 1.897138686479246772e+01 -1.694509092593526889e-01
1.282841585960080355e+00 7.960971739500338096e+00 3.757469860065250633e-01 8.439704531181301261e-01 6.777173370447434619e-01 1.887165336254625814e+01 -1.698068634135825039e-01
1.286281175697775447e+00 7.959879349857581943e+00 3.764210353193989111e-01 8.419734124644262518e-01 6.768088763249923145e-01 1.877274181848003920e+01 -1.701615695411211326e-01
1.289720199841073001e+00 7.958778383138720436e+00 3.770930064890101185e-01 8.399717747762965869e-01 6.758999590729928286e-01 1.867464457785818155e+01 -1.705149182978736577e-01
1.293158595863500793e+00 7.957668770596423968e+00 3.777580475539245586e-01 8.379685153791937013e-01 6.749905950724364168e-01 1.857735361245646999e+01 -1.708669744202162277e-01
1.296596301145125585e+00 7.956550441785218197e+00 3.784221678806735101e-01 8.359604955912258717e-01 6.740807940381851049e-01 1.848086085654226096e+01 -1.712176165922238147e-01
1.300033252915627324e+00 7.955423359203515510e+00 3.790788918801199503e-01 8.339508663531295385e-01 6.731705669896934641e-01 1.838515958733374589e+01 -1.715669299829080119e-01
1.303469388336463419e+00 7.954287467548110335e+00 3.797308991710110493e-01 8.319378354119575381e-01 6.722599243273438274e-01 1.829024274007069195e+01 -1.719148455164637990e-01
1.306904644431585272e+00 7.953142601439297188e+00 3.803801551956360050e-01 8.299212333484338178e-01 6.713488717761757485e-01 1.819610168820541318e+01 -1.722613292032722787e-01
1.310338958029242606e+00 7.951988909137882366e+00 3.810231900880270417e-01 8.279022595398622952e-01 6.704374281483332920e-01 1.810273191401789461e+01 -1.726064189044269614e-01
1.313772266056965066e+00 7.950826076948546373e+00 3.816625553713834940e-01 8.258797197806854173e-01 6.695255930504314668e-01 1.801012289506984132e+01 -1.729500327099763590e-01
1.317204505489404598e+00 7.949654320892882708e+00 3.822965482692369243e-01 8.238554361047270014e-01 6.686133881153497605e-01 1.791827094189673986e+01 -1.732922323404098019e-01
1.320635612655477464e+00 7.948473378105191500e+00 3.829270921887485413e-01 8.218276515458758924e-01 6.677008150149807975e-01 1.782716694827940529e+01 -1.736329325410322921e-01
1.324065524100681568e+00 7.947283307536927133e+00 3.835527030730007669e-01 8.197969974089421852e-01 6.667878889472951265e-01 1.773680508259400312e+01 -1.739721385875850623e-01
1.327494176243550816e+00 7.946083821007066561e+00 3.841720050555235133e-01 8.177647461502961512e-01 6.658746104040368374e-01 1.764717601803371849e+01 -1.743098563566350956e-01
1.330921505607312483e+00 7.944875200091545686e+00 3.847894389661578596e-01 8.157268315782540968e-01 6.649610039031715880e-01 1.755827714107329740e+01 -1.746459697036112091e-01
1.334347448322037444e+00 7.943657127101978688e+00 3.853989400425049117e-01 8.136893161935753183e-01 6.640470687732232813e-01 1.747009815038743596e+01 -1.749806205957440131e-01
1.337771940722635167e+00 7.942429755269199809e+00 3.860046167977024822e-01 8.116484480951187130e-01 6.631328240778374683e-01 1.738263560878079161e+01 -1.753137018435299566e-01
1.341194918880182607e+00 7.941192842250744732e+00 3.866065345885562610e-01 8.096037626312976299e-01 6.622182723643930125e-01 1.729588022479037335e+01 -1.756451541031939512e-01
1.344616318841282743e+00 7.939946391651547586e+00 3.872024023193628706e-01 8.075575721464151036e-01 6.613034263605495067e-01 1.720982667072915362e+01 -1.759750457866870732e-01
1.348036076634939517e+00 7.938690431869662056e+00 3.877940933489275044e-01 8.055081666846525268e-01 6.603883000170401862e-01 1.712446939002895974e+01 -1.763033087403091392e-01
1.351454128102210994e+00 7.937424724522124997e+00 3.883815371468068989e-01 8.034564111699543654e-01 6.594728958078044379e-01 1.703979933261398827e+01 -1.766299261302878010e-01
1.354870409146527788e+00 7.936149443712604779e+00 3.889631538074905803e-01 8.014030734466393024e-01 6.585572338834239092e-01 1.695581362753579313e+01 -1.769549379867751404e-01
1.358284855574849903e+00 7.934864355283623993e+00 3.895400091224748840e-01 7.993462317955873919e-01 6.576413169234233136e-01 1.687250355750599340e+01 -1.772782399508407436e-01
1.361697403066777889e+00 7.933569535858008059e+00 3.901129290316496245e-01 7.972871966470725935e-01 6.567251608607724833e-01 1.678986454124965988e+01 -1.775998689658812857e-01
1.365107987447448989e+00 7.932264855184189223e+00 3.906801926929140412e-01 7.952255875610078073e-01 6.558087728188124466e-01 1.670788972398758077e+01 -1.779197895349613479e-01
1.368516544076470387e+00 7.930950278937457298e+00 3.912422201181203762e-01 7.931622211289610647e-01 6.548921640348052131e-01 1.662657322488808731e+01 -1.782380104766787265e-01
1.371923008887774298e+00 7.929625790220271142e+00 3.917991164839510487e-01 7.910966553503085974e-01 6.539753463444203385e-01 1.654590910272503024e+01 -1.785544954071645041e-01
1.375327317204131594e+00 7.928291255631835455e+00 3.923523220952444546e-01 7.890278994713422200e-01 6.530583267331814268e-01 1.646589095952877457e+01 -1.788691930846688094e-01
1.378729404569373429e+00 7.926946762480234554e+00 3.928989261422025092e-01 7.869581313345485052e-01 6.521411217046071407e-01 1.638651442345277687e+01 -1.791821687906877958e-01
1.382129206428735824e+00 7.925592098173392053e+00 3.934425812219757845e-01 7.848846353486098604e-01 6.512237346226319445e-01 1.630777210898606810e+01 -1.794933024623878437e-01
1.385526658259081723e+00 7.924227377126938698e+00 3.939813181212231119e-01 7.828086157937244050e-01 6.503061832081866722e-01 1.622965948499483346e+01 -1.798026186047680663e-01
1.388921695665257028e+00 7.922852395922381774e+00 3.945130414493909776e-01 7.807325917685267180e-01 6.493884711574808843e-01 1.615216944255733011e+01 -1.801101758949002762e-01
1.392314253619383546e+00 7.921467194303154713e+00 3.950409848573538385e-01 7.786530740072189483e-01 6.484706129410007236e-01 1.607529741777782561e+01 -1.804158461499413835e-01
1.395704267878165705e+00 7.920071789718113209e+00 3.955637630998769527e-01 7.765722029789978720e-01 6.475526219967235875e-01 1.599903890086471137e+01 -1.807196964468300859e-01
1.399091673552705695e+00 7.918665976146913366e+00 3.960807790518166560e-01 7.744892963581744283e-01 6.466345018598119720e-01 1.592338579973989887e+01 -1.810216542105383963e-01
1.402476406124238073e+00 7.917249856256653118e+00 3.965960223496284853e-01 7.724029191591709198e-01 6.457162697969854870e-01 1.584833536006756738e+01 -1.813216852160546844e-01
1.405858400710268796e+00 7.915823302364760394e+00 3.971020178996612637e-01 7.703171573828546670e-01 6.447979327082211665e-01 1.577388027332601439e+01 -1.816198850122325570e-01
1.409237592679820850e+00 7.914386405886944864e+00 3.976058244894957183e-01 7.682268125318778562e-01 6.438795073930605461e-01 1.570001759308144074e+01 -1.819160848851906764e-01
