                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r23.05.1"                               "gfortran"                                 "13.1.0"                                       ""                                 "CRMATH"                               "20250111"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                           he_core_radius                              he_core_lgT                            he_core_lgRho                                he_core_L                                he_core_v                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                            envelope_mass                        dynamic_timescale                             kh_timescale                           mdot_timescale                   kh_div_mdot_timescales                            nuc_timescale                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                               surface_h1                              surface_he4                              surface_c12                              surface_o16                               average_h1                              average_he4                            total_mass_h1                           total_mass_he4                             total_energy               total_gravitational_energy                    total_internal_energy              total_radial_kinetic_energy                   total_turbulent_energy           total_energy_sources_and_sinks                              num_retries                                num_iters 
                                    2400                                      713                  1.6738681974001301E+007                 -3.3391474668464549E+000                  1.1997146763366654E+001                  3.4377583882052932E+001                 -9.8999999999999986E+001                  2.3653705284343914E-002                  9.2492229407054660E-001                  2.8366174522598070E-001                  2.6403700602941049E-001                  2.5380729816705527E-001                  9.3872395118217056E-001                  2.8135942193726815E-001                  2.6466709960630325E-001                  2.5353261617377737E-001                 -9.7319063200154385E+000                  4.2656413233875830E+000                  4.9722294186889213E+000                  5.0501502267223550E+000                 -9.7319063611453789E+000                 -1.6755532562917729E+001                  4.2656413233875830E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.2317651610151497E+032                  8.4937993353833219E+032                  2.6255111677163832E+033                  2.6587840236388863E+033                  3.0571471963326287E+033                  3.1213061961904712E+033                  2.9672019096738782E+000                  1.9175219087936746E+000                  6.6608188187179618E+000                 -2.3219145446847280E+000                  4.1877387495208575E+004                  1.3327435654431888E+001                  1.4198923103795964E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.0299448536927756E+000                  3.3177468245820675E+009                  6.9631623104740789E-002                  1.1997146763366654E+100                  5.8040152778126616E-102                  2.7024920174859228E+004                  3.4031465778513881E+000                  6.6473135518668895E+000                  4.0400167810951659E+000                 -2.5628879631949375E+000                  7.4105235653102919E-001                  2.2231648462762092E+001                  5.6204345189942488E+000                  8.8706763666555464E+000                  1.7754305495980245E+000                  5.0000000000020262E-001                  1.5811861732980329E+001                  0.0000000000000000E+000                  1.3669859062388434E-012                  2.1885477894764790E-001                  4.8944287153839305E-001                  6.7557674380020094E-001                  3.0428173894894689E-001                  2.0258075322155647E-003                  8.4460546217324812E-003                  5.0748823019062295E-001                  3.5347500139503624E-001                  6.0884107782781030E+000                  4.2406914689174826E+000                 -9.5953027861488916E+049                 -2.4052174479853234E+050                  1.4366987213250303E+050                  8.9884480454040470E+047                  0.0000000000000000E+000                 -2.4481505947019572E+044                                        0                                        5 
